Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,PASS,,1,52871,2114.84,52936,2117.44,Player21,Player19,2.120000000000002,12.92,30.740000000000002,-26.52
Away,PASS,,1,52941,2117.64,52971,2118.84,Player19,Player23,30.740000000000002,-27.200000000000003,37.099999999999994,-15.639999999999999
Away,PASS,,1,53027,2121.08,53045,2121.8,Player23,Player24,41.34,-9.520000000000001,44.52,2.719999999999999
